,label,data,x,y
0,3,donald trump india visit updates us president reaches delhi amid tight security talks narendra modi presidential banquet tomorrows agenda,-0.39088439168860023,0.06304995316405029
1,3,donald trump india visit updates us president reaches delhi amid tight security talks narendra modi presidential banquet tomorrows agenda,-0.39088439168860506,0.06304995316422735
2,3,donald trump india visit live updates taj mahal inspires awe says us president,-0.23050181527504995,0.04441477456701553
3,3,us president india trump melania arrive delhi taj mahal visit,-0.28725867612542516,0.09647386987970155
4,3,trump visit india could outcomes,-0.15025583205568516,-0.011858443553096908
5,1,trump govt seems supportive india part indopacific strategy also counting gains,-0.21600542418731722,0.22553909459230956
6,0,unidentified man waved gun unarmed delhi police officer todays violence,-0.21439990446243576,0.6232163109582912
7,0,watch man opens fire front cop delhi caa clashes,-0.6491282633612578,0.2941753034120794
8,0,anti pro caa protesters clashes break delhi tear gas shells lobbed stones pelted,-0.7025107142225241,0.2922781397867144
9,0,civilian cop killed caa clashes delhi hours trumps arrival points,-0.6218267641909839,0.1987492671616379
10,0,caa protests live updates policeman among two killed northeast delhi violence,-0.09173479292466039,0.660564119026454
11,0,delhi violence dmrc opens four metro stations shuts five pink line,-0.4015444145778242,0.6379496675074326
12,6,china coronavirus outbreak latest updates,0.42981901031984426,-0.138105080804569
13,6,coronavirus outbreak live updates oman reports first cases virus halts flights iran,0.35720876952055947,-0.10696049526907776
14,6,new coronavirus cases rise italy korea iran beijing reports zero new cases,-0.22869017098311353,0.42633468105149397
15,6,people home isolation kerala coronavirus health dept,-0.5913154031501009,-0.4943740510698935
16,6,south korea biggest coronavirus hotspot outside china,0.6628512191249128,-0.06433748174946208
17,1,former pm manmohan singh skip presidents banquet trumps honour,-0.4193306633071897,-0.28067910387107964
18,1,former pm manmohan singh skip banquet donald trump tomorrow,-0.4675843192917478,-0.2439365282942919
19,1,manmohan singh skip rashtrapati bhavan banquet donald trump,-0.5173872066721088,-0.23402508236849157
20,3,india reduced lowly buyer congresss manish tewari trumps visit,0.053134289095853396,-0.06496364013254792
21,1,attend trump event sonia gandhi invited adhir ranjan chowdhury,-0.5052179161567865,0.2356208754746914
22,0,malaysian pm mahathir submits resignation,-0.4546262327446598,-0.591193188137281
23,0,malaysian pm mahathir mohamad sends resignation letter king sources,-0.4039775075806203,-0.6532610595491011
24,0,malaysias mahathir resigns asked stay interim pm,-0.4103547079658192,-0.61264038526421
25,0,mahathir mohamad malaysian prime minister shock resignation,-0.5021222066391124,-0.5937826624191654
26,0,turmoil malaysia pm mahathir mohamad submits resignation,-0.44628743742784494,-0.6155077631540222
27,3,honoured return india ivanka trump tweets ahead visit family,-0.11776873325100544,-0.21407372108454778
28,3,honoured return india ivanka trump tweets ahead visit family,-0.11776873325100538,-0.214073721084548
29,3,atithi devo bhava pm modi responds trump hindi tweet india visit,-0.03188514366210707,-0.1442724921750661
30,3,honoured return ivanka trump tweets ahead india visit family,-0.11776873325100587,-0.21407372108454836
31,1,twitter comes crashing photo great wall ahmedabad built welcome trump goes viral,-0.11900336297983762,-0.4448660378104508
32,1,finally donald trump tryst mahatma gandhi,-0.6378411666167155,-0.2113393519283778
33,0,supreme court last year said disputed site belongs lord ram representational,0.774991932435569,0.09930734943512848
34,0,mosque hospital library come muslim body accepts ayodhya plot,0.6251811510390496,-0.25127732396667246
35,0,sunni waqf board accept alternative land near ayodhya offered government,0.6011084159658966,-0.1789975298399321
36,0,ayodhya case sunni waqf board accepts five acre land allotted govt build mosque,0.4776844115064607,-0.029512864799403817
37,0,sunni board build mosque hospital acre ayodhya site,0.6845396683094689,-0.14605338123010858
38,0,sunni waqf board build mosque hospital fiveacre land allotted govt,0.6023936302756554,-0.12723957222098414
39,6,shaheen bagh interlocutors file report supreme court,0.6052900386495316,0.46699290349676725
40,0,police anticaa protesters shaheen bagh responsible inconvenience commuters,0.561847767707535,0.4361827531571507
41,0,road opened near shaheen bagh blocked delhi police protestors,0.4155983763028391,0.3307672853019822
42,0,shaheen bagh way,0.21497890979017173,0.7533762223335153
43,0,gapped bridge swaraj kaushal slams shaheen bagh interlocutor,0.2725873780454996,0.7396188705240977
44,0,officials unaffiliated kochi school arrested students lose chance write th boardofficials unaffiliated kochi school arrested students lose chance write th board news minute,0.5805010760325248,0.21638540537051645
45,0,officials unaffiliated kochi school arrested students lose chance write th board,0.5756563149772704,0.22295761101269648
46,0,cbse th physical education exam paper analysis,0.07356785117341742,-0.5633697389723487
47,0,cbse day lakh students appear physical education language papers,0.004357113726661376,-0.5933547225659637
48,0,teens write th board kochi unaffiliated school arrangement fails,0.6141599928433685,0.24761989470404044
49,0,cbse th class english paper sample paper marking scheme,-0.7745023144616956,0.0881552507754444
50,0,justice arun mishra draws flak praising prime minister,-0.7877226346853768,-0.118281512629282
51,0,gallery seating capacity created sriharikota witness rocket launches pm modi,0.2162940521588914,-0.03186783731201158
52,0,pm versatile genius sc judge,0.7063602383461464,0.14874861855708424
53,5,pm modi calls yearold student inspiration,-0.6533456826303096,-0.02809938452859974
54,0,pm radio message aiding artisans student life,0.26555680522634284,0.678004131957125
55,3,delhi police issue traffic advisory ahead us president donald trumps visit today,-0.31862021775935523,-0.06676120447404046
56,3,delhi police issue traffic advisory ahead us president donald trumps visit today,-0.31862021772859545,-0.06676120445572155
57,6,ornate private spa food testing lab itc hotels uberluxurious suite host donald trump delhi,-0.6957887297596824,0.09088515308227592
58,1,president loves crowd size india aims deliver india news,0.00031659572300001416,0.18374183724840065
59,1,came us indian american trump delegation parents journey,-0.34978138779952306,-0.4738516472208551
60,1,surprise gift us president donald trump pollachi master tailor,-0.5998359862634349,-0.29338642465253933
61,3,trump arrival washington monday afternoon visit ashram also known gandhi ashram prime minister narendra modi getty imagesistockphoto,-0.717451213607863,-0.12758997888982934
62,3,gujarati delicacy khaman added us president donald trump first lady melania hightea menu,-0.3687839315776993,-0.36005275791037716
63,3,broccoli samosa khaman multigrain rotis trumps menu ahmedabad,-0.614045244607572,0.042935469061145023
64,3,khaman broccoli samosa donald trumps menu ahmedabad visit,-0.49994098579897406,-0.10697988329498653
65,3,donald trumps visit khaman samosa kadak chai guests,-0.5167097838427054,-0.05413057530578689
66,3,platter broccoli samosa special gujarati tea allveg menu awaits trump wife,-0.4660032687814005,-0.442361889378823
67,6,explained victory nevada puts sanders pole position clinch democratic nomination,0.4246522825854547,-0.6577725094589423
68,0,nevada caucuses lost,0.6809525605302145,-0.396978892876054
69,0,bernie sanders wins big nevada democratic rivals tenterhooks,0.7059140626882884,-0.3275707554022987
70,6,could bernie sanders wrong,0.29299040993283015,-0.7182006431581837
71,4,bernie sanders landslide nevada win time democrats unite behind,0.34819943310602597,-0.6795290373232151
72,1,trump sings modis praises massive rally india,-0.5162456783513951,0.09409550926428133
73,1,donald trump likely bring kashmir narendra modi history tells us path us president advocating doomed,-0.6245963594044909,-0.11548452266772713
74,0,takers pak kashmir solidarity day,0.14520273069281178,-0.7528599375068418
75,3,trumps india visit boost defence ties pakistan relevant analysis,-0.07707086533906381,0.08833899680147933
76,6,taking stock coronavirus worries fuel global selloff investors lose rs lk cr,0.3360811593696993,-0.24535595412367184
77,6,sensex plunges points coronavirus scare factors behind market fall,-0.17526900925449843,0.4588463406068247
78,0,sensex crashes points nifty ends points,-0.7321708657232595,0.23321617331950031
79,6,sensex plunges points amid coronavirus scare,0.3496934122322129,0.10289043757477333
80,6,things need know opening bell february,-0.6677382096049387,-0.413499709531297
81,1,mukesh ambani said india soon among top three economies world file,-0.06835554312371521,0.3362135050281049
82,1,donald trump see different india barack obama others mukesh ambani,-0.32857030073361654,-0.2134806438537932
83,1,rilmicrosoft partnership define decade mukesh ambani satya nadella,-0.6882575579290272,-0.3495743804718164
84,0,important execs microsoft satya nadella,0.18320064337640732,-0.39181207838939747
85,3,nadella would happy trump overshadow india visit,-0.06439399454486171,-0.03663142659414197
